replication,financial_cost,quality_loss,extra_staff_hours,ambulance_diversions,high_acuity_waiting_cost,avg_wait_time,avg_utilization
1,809130,12365,77,2,738750,4.906094527363185,0.5734571191660744
2,1075090,14730,86,4,990000,6.034013605442177,0.5497909580498866
3,817280,10575,67,2,761250,4.233367822653537,0.5027700474129044
4,991830,12695,87,0,933750,6.1636108989050165,0.6191351540616248
5,958270,12060,88,0,903750,5.766330891330891,0.6031847781847782
6,833140,11220,76,0,780000,5.1484686849946595,0.5792568542568542
7,862970,11865,73,2,798750,4.750525210084033,0.5578460550887021
8,868520,12620,68,3,795000,5.455645161290323,0.5671402969790067
9,943580,12530,82,2,877500,5.787263535551206,0.6012095020656665
10,927400,11790,70,0,873750,5.995868869936035,0.5827410566216537
11,968920,12560,88,3,900000,4.727617416829746,0.54485757773429
12,1022080,14425,77,7,926250,6.771298363095238,0.5984995039682539
13,962260,12140,84,2,900000,5.276463963963964,0.5721391033891035
14,824630,12015,87,1,761250,5.476491862567811,0.584099357042395
15,1014980,11945,77,0,963750,5.638079573934837,0.5881944444444445
16,811860,11770,74,2,746250,5.084948107448107,0.5229497354497353
17,914210,12440,84,1,851250,5.749798906048906,0.5771771771771772
18,876320,12190,78,1,813750,4.911706349206349,0.5572661135161134
19,917040,12335,91,1,855000,5.827953296703297,0.5878561253561253
20,859240,12820,76,3,783750,5.873749137336094,0.5831262939958591
21,904440,11615,91,1,847500,4.970899470899472,0.5559597295708407
22,848260,11330,74,1,791250,5.232573621553885,0.5748094193817878
23,779620,10805,73,0,727500,5.034319306234891,0.5561468113416166
24,794410,11370,54,2,731250,5.101282051282052,0.5627594627594628
25,932070,12905,73,1,866250,4.853741496598639,0.5229768990929705
26,904080,12040,72,0,847500,5.325412087912088,0.5544993894993895
27,898490,13270,66,4,817500,5.222943722943724,0.5633225108225107
28,912270,11700,88,1,855000,5.9832830859616575,0.6141439909297052
29,818020,10660,68,1,765000,4.488752319109461,0.5181508967223254
30,892970,11530,78,1,836250,5.609153796653797,0.5915915915915917
31,887550,11765,85,1,828750,4.957261904761905,0.5861904761904762
32,991930,12720,92,1,930000,6.067904135338345,0.6394501879699249
33,765910,11870,74,1,701250,5.196730055658628,0.5447897340754484
34,872450,11665,65,0,817500,5.484631214744851,0.5651996151996153
35,888780,12905,77,2,817500,6.379689754689754,0.6171897546897547
36,858280,11690,82,0,802500,5.336500305250306,0.576490638990639
37,748070,11890,78,1,682500,5.6189316635745215,0.5705808080808081
38,850890,10720,76,1,798750,5.01469723691946,0.5605305702527924
39,933790,11195,91,0,885000,5.195528792912514,0.5747785160575858
40,904030,10595,67,0,858750,5.520116179001722,0.5781124497991967
41,837870,11860,88,1,776250,5.827123750734862,0.6100406623554772
42,868630,13590,82,3,787500,6.392159598214285,0.6183252728174604
43,851830,12315,67,3,780000,5.528983516483517,0.5657387057387059
44,1003570,12830,98,1,941250,6.222950750548153,0.6053906411049268
45,922100,12085,65,3,855000,5.5727933218742045,0.5754872782446311
46,886330,12085,77,1,825000,5.655144557823129,0.5875453514739228
47,794310,11845,69,3,723750,5.143951330532213,0.5336367880485529
48,880890,11360,76,1,825000,5.277663393517052,0.5693234610917538
49,1014320,12845,73,2,948750,5.562074829931974,0.5868827160493827
50,915310,11615,79,0,862500,5.136583011583012,0.5940851565851565
51,850790,11665,81,1,791250,5.079264617239302,0.5776069921639542
52,946650,12920,100,1,881250,5.668550331525016,0.5947307615029135
53,846520,11100,68,1,791250,5.526594516594517,0.5596031746031745
54,864460,12525,89,1,798750,6.186649659863946,0.6147701504844362
55,794530,11845,77,1,731250,5.44150958994709,0.5841214726631393
56,961670,13050,78,4,885000,5.270156926406926,0.564935064935065
57,820080,11410,82,1,761250,4.599007936507936,0.5526058201058202
58,900860,12625,69,4,825000,5.349284941249228,0.5533078231292516
59,753350,10185,65,0,705000,5.128306878306879,0.5473055065647658
60,1025500,11905,85,0,975000,5.424653405666064,0.6232670283303196
61,941960,12790,94,2,873750,6.009868421052632,0.5965486633249791
62,822620,12245,73,2,753750,5.700135281385283,0.5716411564625851
63,856960,12010,74,1,795000,5.228605935127674,0.5789481251437774
64,941240,12710,86,3,870000,5.891309523809524,0.5788386243386244
65,959610,11765,69,0,907500,5.843772210376688,0.5970386164416015
66,939900,13970,90,3,858750,5.7035705696419985,0.5805146132527085
67,836930,12235,67,2,768750,5.350120907738095,0.5549820188492063
68,777520,10525,73,0,727500,4.525658195970696,0.4928323412698412
69,966990,13245,101,2,896250,5.547896825396825,0.5789100529100529
70,801310,11295,79,0,746250,4.797896825396825,0.542058201058201
71,799200,11030,70,1,742500,5.441907775768536,0.5702506530038175
72,850780,11190,62,1,795000,5.388285024154589,0.5889751552795031
73,926910,12735,79,4,851250,5.522341813437704,0.570811589475973
74,838170,10930,78,0,787500,5.4636160714285715,0.5650694444444444
75,822770,11785,73,2,757500,4.98084563462853,0.5235249582289055
76,983400,13560,80,5,900000,5.830073696145124,0.6087490551776266
77,907820,12545,93,1,843750,6.19726800976801,0.6303545991045991
78,989620,12415,83,1,930000,5.403571428571429,0.6019671201814059
79,903740,11530,66,1,847500,4.468321917808219,0.5260708849749945
80,881210,12390,74,3,810000,4.5934149184149184,0.5240811965811966
81,913890,12905,81,3,840000,5.279984008528785,0.5753553660270079
82,1072160,13380,84,4,997500,6.046559034572733,0.6182349423787781
83,903340,11475,71,1,847500,5.670673076923077,0.5847578347578347
84,804980,11335,67,2,742500,4.734156162464986,0.5567927170868348
85,898980,12360,72,3,828750,4.973935786435787,0.5461760461760462
86,843390,11625,81,0,787500,5.626793345543346,0.5811380748880749
87,805030,11790,82,0,746250,5.146721236509969,0.5780236977420075
88,986260,13915,79,3,907500,6.071781678773204,0.6072639225181599
89,893480,12075,87,1,832500,5.743973214285714,0.6065897817460317
90,930010,13115,99,2,858750,6.033528138528139,0.6157429052429052
91,904060,11090,74,1,851250,5.073484145724406,0.5780689548546691
92,815160,11745,69,3,746250,5.818273133116884,0.5750124007936508
93,900500,11590,70,2,840000,5.3925900488400496,0.5913334350834352
94,802930,10570,62,1,750000,4.368920068027212,0.5416128117913832
95,899810,12455,79,2,832500,5.057178932178932,0.5300733525733526
96,814550,11620,80,0,757500,4.868344907407408,0.5440558862433863
97,811820,11275,63,1,753750,5.280055331991951,0.5717555331991951
98,901360,12170,74,1,840000,5.853555120678409,0.6140030441400305
99,879560,12140,84,1,817500,5.684353741496599,0.6017006802721088
100,851410,11750,74,1,791250,5.261946097883598,0.5515597442680776
